Building Name,District Name,County,"City, State, Zip Code",Performance Index Score 2015-16,City,State,Zip Code,Code+4
Summit Academy Community School - Painesville,Summit Academy Community School - Painesville,Lake,"Painesville, OH, 44077-4009",59.286,Painesville, OH, 44077,4009
Summit Academy Toledo Learning Center,Summit Academy Toledo Learning Center,Lucas,"Toledo, OH, 43614-1801",54.173,Toledo, OH, 43614,1801
Summit Academy Secondary School - Middletown,Summit Academy Secondary School - Middletown,Butler,"Middletown, OH, 45044-5375",57.273,Middletown, OH, 45044,5375
Amherst Elementary School,Jackson Local,Stark,"Massillon, OH, 44646-1626",100.501,Massillon, OH, 44646,1626
Rittman Academy,Office of School Sponsorship,Franklin,"Rittman, OH, 44270-1259",NC,Rittman, OH, 44270,1259
Amity Elementary School,Deer Park Community City,Hamilton,"Cincinnati, OH, 45236-2618",89.972,Cincinnati, OH, 45236,2618
Frank Jacinto Elementary,Lorain City,Lorain,"Lorain, OH, 44052-4337",56.655,Lorain, OH, 44052,4337
New Day Academy Boarding & Day School,New Day Academy Boarding & Day School,Cuyahoga,"Mentor, OH, 44060-1917",40.290,Mentor, OH, 44060,1917
Oakstone Community School,Oakstone Community School,Franklin,"Columbus, OH, 43231-2831",81.891,Columbus, OH, 43231,2831
Anderson High School,Forest Hills Local,Hamilton,"Cincinnati, OH, 45255-4307",93.282,Cincinnati, OH, 45255,4307
Arcadia Middle School,Arcadia Local,Hancock,"Arcadia, OH, 44804-9714",93.593,Arcadia, OH, 44804,9714
Avon Heritage Elementary School,Avon Local,Lorain,"Avon, OH, 44011-1639",103.945,Avon, OH, 44011,1639
Pymatuning Valley Primary Elementary School,Pymatuning Valley Local,Ashtabula,"Andover, OH, 44003-1180",96.452,Andover, OH, 44003,1180
Zenith Academy,Zenith Academy,Franklin,"Blacklick, OH, 43004-8630",50.179,Blacklick, OH, 43004,8630
Andrew J Rickoff,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44120-4834",44.327,Cleveland, OH, 44120,4834
HBCU Preparatory School 1,HBCU Preparatory School 1,Cuyahoga,"Cleveland, OH, 44120-2041",71.775,Cleveland, OH, 44120,2041
Massillon Junior High School,Massillon City,Stark,"Massillon, OH, 44647-5910",74.768,Massillon, OH, 44647,5910
HBCU Preparatory School 2,HBCU Preparatory School 2,Cuyahoga,"Cleveland, OH, 44120-2041",NC,Cleveland, OH, 44120,2041
Anna Elementary School,Anna Local,Shelby,"Anna, OH, 45302-0169",106.593,Anna, OH, 45302,0169
Anna High School,Anna Local,Shelby,"Anna, OH, 45302-0169",95.226,Anna, OH, 45302,0169
Ansonia Elementary School,Ansonia Local,Darke,"Ansonia, OH, 45303-0279",91.337,Ansonia, OH, 45303,0279
"Maritime Academy of Toledo, The","Maritime Academy of Toledo, The",Lucas,"Toledo, OH, 43604-1831",56.098,Toledo, OH, 43604,1831
Ansonia High School,Ansonia Local,Darke,"Ansonia, OH, 45303-0279",93.092,Ansonia, OH, 45303,0279
Educational Academy for Boys & Girls,North Central Ohio ESC,Seneca,"Columbus, OH, 43212-2843",54.771,Columbus, OH, 43212,2843
Midnimo Cross Cultural Community School,North Central Ohio ESC,Seneca,"Columbus, OH, 43212-2883",58.326,Columbus, OH, 43212,2883
Anthony Wayne Elementary School,Franklin City,Warren,"Franklin, OH, 45005-2721",76.051,Franklin, OH, 45005,2721
Horizon Science Academy-Cincinnati,Horizon Science Academy-Cincinnati,Hamilton,"Cincinnati, OH, 45237-5005",48.668,Cincinnati, OH, 45237,5005
Horizon Science Academy-Dayton,Horizon Science Academy-Dayton,Montgomery,"Dayton, OH, 45415",55.853,Dayton, OH, 45415,
Anthony Wayne High School,Anthony Wayne Local,Lucas,"Whitehouse, OH, 43571-9661",88.508,Whitehouse, OH, 43571,9661
Horizon Science Academy-Springfield,Horizon Science Academy-Springfield,Lucas,"Toledo, OH, 43615-6314",60.201,Toledo, OH, 43615,6314
Anton Grdina,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44104-4101",38.904,Cleveland, OH, 44104,4101
National Road,Zanesville City,Muskingum,"Zanesville, OH, 43701-6617",67.370,Zanesville, OH, 43701,6617
Antwerp Local Elementary School,Antwerp Local,Paulding,"Antwerp, OH, 45813",93.010,Antwerp, OH, 45813,
Horizon Science Academy-Denison Middle School,Horizon Science Academy-Denison Middle School,Cuyahoga,"Cleveland, OH, 44109-2925",55.676,Cleveland, OH, 44109,2925
General Johnnie Wilson Middle School,Lorain City,Lorain,"Lorain, OH, 44052-4648",59.415,Lorain, OH, 44052,4648
Longfellow Middle School,Lorain City,Lorain,"Lorain, OH, 44052-2256",64.094,Lorain, OH, 44052,2256
Bennett Venture Academy,Bennett Venture Academy,Lucas,"Toledo, OH, 43612",68.487,Toledo, OH, 43612,
Antwerp Local High School,Antwerp Local,Paulding,"Antwerp, OH, 45813",93.514,Antwerp, OH, 45813,
Apple Creek Elementary School,Southeast Local,Wayne,"Apple Creek, OH, 44606-9532",90.655,Apple Creek, OH, 44606,9532
Stambaugh Charter Academy,Stambaugh Charter Academy,Mahoning,"Youngstown, OH, 44509-1306",70.198,Youngstown, OH, 44509,1306
Horizon Science Academy-Cleveland Middle School,Horizon Science Academy-Cleveland Middle School,Cuyahoga,"Cleveland, OH, 44103-1043",66.515,Cleveland, OH, 44103,1043
Canton Arts Academy @ Summit,Canton City,Stark,"Canton, OH, 44703-3311",99.920,Canton, OH, 44703,3311
Grand Valley Elementary School,Grand Valley Local,Ashtabula,"Orwell, OH, 44076-9420",98.100,Orwell, OH, 44076,9420
Westside Academy,Westside Academy,Franklin,"Columbus, OH, 43228-3439",66.468,Columbus, OH, 43228,3439
Applewood Elementary School,Brunswick City,Medina,"Brunswick, OH, 44212-4049",99.081,Brunswick, OH, 44212,4049
Slate Ridge Elementary School,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-3249",92.656,Reynoldsburg, OH, 43068,3249
Waggoner Road Middle School,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-9707",79.525,Reynoldsburg, OH, 43068,9707
Canaan Middle School,Jonathan Alder Local,Madison,"Plain, OH, 43064-8853",90.526,Plain, OH, 43064,8853
Charity Adams Earley Girls Academy,Dayton City,Montgomery,"Dayton, OH, 45415-3518",63.782,Dayton, OH, 45415,3518
Arcadia Elementary School,Arcadia Local,Hancock,"Arcadia, OH, 44804-9714",94.886,Arcadia, OH, 44804,9714
Glen Oak Elementary School,Olentangy Local,Delaware,"Lewis Center, OH, 43035-7145",104.577,Lewis Center, OH, 43035,7145
Arcadia High School,Arcadia Local,Hancock,"Arcadia, OH, 44804-9714",85.828,Arcadia, OH, 44804,9714
Arcanum Elementary School,Arcanum-Butler Local,Darke,"Arcanum, OH, 45304-1381",90.645,Arcanum, OH, 45304,1381
Cardington Intermediate School,Cardington-Lincoln Local,Morrow,"Cardington, OH, 43315-9397",86.221,Cardington, OH, 43315,9397
Arcanum High School,Arcanum-Butler Local,Darke,"Arcanum, OH, 45304-1381",85.261,Arcanum, OH, 45304,1381
Archbold Elementary School,Archbold-Area Local,Fulton,"Archbold, OH, 43502-1669",100.852,Archbold, OH, 43502,1669
Cleveland Entrepreneurship Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44114-4116",73.607,Cleveland, OH, 44114,4116
Archbold High School,Archbold-Area Local,Fulton,"Archbold, OH, 43502-1656",95.382,Archbold, OH, 43502,1656
East Bridge Academy of Excellence,East Bridge Academy of Excellence,Franklin,"Columbus, OH, 43232-3101",39.655,Columbus, OH, 43232,3101
Par Excellence Academy,Newark City,Licking,"Newark, OH, 43055-3906",75.072,Newark, OH, 43055,3906
Newton Falls Elementary School,Newton Falls Exempted Village,Trumbull,"Newton Falls, OH, 44444-9707",82.651,Newton Falls, OH, 44444,9707
Toledo Preparatory and Fitness Academy,Toledo Preparatory and Fitness Academy,Lucas,"Toledo, OH, 43607-2932",76.523,Toledo, OH, 43607,2932
Columbus Preparatory and Fitness Academy,Columbus Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43204-7003",66.970,Columbus, OH, 43204,7003
Mt. Healthy Preparatory and Fitness Academy,Mt. Healthy Preparatory and Fitness Academy,Hamilton,"Cincinnati, OH, 45231-3107",57.910,Cincinnati, OH, 45231,3107
Arlington Elementary School,Toledo City,Lucas,"Toledo, OH, 43609-2963",61.314,Toledo, OH, 43609,2963
Arlington Local Elementary School,Arlington Local,Hancock,"Arlington, OH, 45814-0260",92.599,Arlington, OH, 45814,0260
Arlington Local High School,Arlington Local,Hancock,"Arlington, OH, 45814-0260",85.061,Arlington, OH, 45814,0260
Arrowhead Primary Elementary School,Copley-Fairlawn City,Summit,"Copley, OH, 44321-2024",106.345,Copley, OH, 44321,2024
Artemus Ward,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44135-2128",56.816,Cleveland, OH, 44135,2128
Asbury Elementary School,Groveport Madison Local,Franklin,"Columbus, OH, 43232-6263",71.733,Columbus, OH, 43232,6263
Ashland High School,Ashland City,Ashland,"Ashland, OH, 44805-3635",79.686,Ashland, OH, 44805,3635
Ashland Middle School,Ashland City,Ashland,"Ashland, OH, 44805-3652",85.016,Ashland, OH, 44805,3652
Buckeye Valley East Elementary School,Buckeye Valley Local,Delaware,"Ashley, OH, 43003-0356",75.648,Ashley, OH, 43003,0356
Lakeside High School,Ashtabula Area City,Ashtabula,"Ashtabula, OH, 44004-9552",60.435,Ashtabula, OH, 44004,9552
Ashville Elementary School,Teays Valley Local,Pickaway,"Ashville, OH, 43103-1538",98.770,Ashville, OH, 43103,1538
Athens High School,Athens City,Athens,"The Plains, OH, 45780-1148",81.772,The Plains, OH, 45780,1148
Atkinson Elementary School,Fremont City,Sandusky,"Fremont, OH, 43420-4605",80.406,Fremont, OH, 43420,4605
Seneca East Elementary,Seneca East Local,Seneca,"Attica, OH, 44807-9301",88.617,Attica, OH, 44807,9301
Seneca East High School,Seneca East Local,Seneca,"Attica, OH, 44807-9301",88.788,Attica, OH, 44807,9301
Waterloo Elementary School,Waterloo Local,Portage,"Atwater, OH, 44201-9349",93.308,Atwater, OH, 44201,9349
Auburn Elementary School,Shelby City,Richland,"Shelby, OH, 44875-1103",98.120,Shelby, OH, 44875,1103
Timmons Elementary School,Kenston Local,Geauga,"Chagrin Falls, OH, 44023-2762",100.297,Chagrin Falls, OH, 44023,2762
Oakwood Elementary School,Paulding Exempted Village,Paulding,"Oakwood, OH, 45873-0037",103.304,Oakwood, OH, 45873,0037
Augusta Elementary School,Carrollton Exempted Village,Carroll,"Carrollton, OH, 44615-9739",99.302,Carrollton, OH, 44615,9739
Aurora High School,Aurora City,Portage,"Aurora, OH, 44202-9103",103.227,Aurora, OH, 44202,9103
